DATE;LAI;CAB;CAR;ANT;CBROWN;CW;CM;LEAF_ANGLE;FG;RHO_VIS;RHO_NIR
2015-01-06;0.3545909289109017;65.2211166082657;12.384794208965262;9.494994258047011;0.9290969103941087;0.02111762075207606;0.022382470734171666;48.97933207879791;0.8202002296768488;0.05631806432532733;0.1884355215760375
2015-01-07;0.3607896727907665;65.71445634295738;12.587029742814284;9.678838809128882;0.9350682788214205;0.021162138176366013;0.022363066807404772;48.97582548953992;0.8128464476337556;0.05636640171999026;0.18862630315017298
2015-01-08;0.36698794537748197;66.20698045292379;12.789014291199148;9.862525602205832;0.9410378214921061;0.021206577842481204;0.02234365351773208;48.973009948062185;0.805498975910859;0.056414785560460944;0.18881693761985635
2015-01-09;0.3731849024159304;66.69721346237556;12.990293949702288;10.045769465734756;0.9470022388517654;0.021250798934130486;0.022324214193318162;48.97213699559727;0.7981692213698826;0.056463299805342294;0.18900715833732717
2015-01-10;0.379379425067336;67.18317589968281;13.19025998656201;10.228188174876916;0.952957109689651;0.021294612284740524;0.02230472690831038;48.974888043397335;0.7908724730043758;0.0565120569883753;0.18919660668737098
2015-01-11;0.3855702184191309;67.66254038170884;13.388197004770781;10.409332856033426;0.9588972437926276;0.021337795107147436;0.022285166540354832;48.98324355504247;0.783626685758294;0.05656118926774147;0.18938485970454863
2015-01-12;0.3917559102382591;68.13278812520092;13.583331235535667;10.588718473896186;0.964817035553783;0.021380105764062574;0.022265506832908337;48.99935186634906;0.7764512610439612;0.05661083945107144;0.18957145776766263
2015-01-13;0.39793515009741043;68.59136611797668;13.774879034640636;10.765854445901608;0.9707108190547108;0.021421298601591046;0.022245722464858668;49.02539744483172;0.7693658221639205;0.056661151982943886;0.18975593241375646
2015-01-14;0.4041067090114078;69.03584520178443;13.962095659087616;10.940275432590683;0.9765732251820306;0.021461138869966884;0.022225791130078828;49.063468373885264;0.7623889826965314;0.056712263880594214;0.1899378343176096
2015-01-15;0.4102695797187909;69.46407932213837;14.144324402380706;11.111572352933619;0.9823995413447313;0.02149941775607009;0.02220569562944731;49.11542284324005;0.7555371058829844;0.05676429560338822;0.19011676148357404
2015-01-16;0.41642307773149423;69.87436618804492;14.32104616292787;11.279423671153026;0.9881860743292536;0.021535967551200623;0.022185425977565072;49.18275443688211;0.7488230531543741;0.05681734184235928;0.1902923876946852
2015-01-17;0.42256680279969877;70.26540399896182;14.491865769191449;11.443586735116684;0.993930063195554;0.021570657665361592;0.022164978089373767;49.26662584865199;0.742256530595989;0.056871473671393155;0.19046445447678373
2015-01-18;0.4287006013139532;70.6362499664829;14.656498855536944;11.603889459290514;0.9996295961514854;0.021603390814451506;0.022144352484189094;49.36790106013111;0.7358444216291901;0.05692674059696121;0.1906327633927329
2015-01-19;0.43482452968458984;70.98628076092822;14.814759328297225;11.760222376517005;1.005283531681593;0.021634099393424693;0.02212355300755781;49.487175864546394;0.7295911049402769;0.05698317249929467;0.19079716869257893
2015-01-20;0.4409388187137956;71.3151549771186;14.966547450488747;11.912531075827587;1.010891424121497;0.021662742045148158;0.022102585570886398;49.62480665029481;0.7234987569679909;0.057040781460049046;0.19095757033949765
2015-01-21;0.44704383895469735;71.62277768166732;15.111838563789117;12.060809037235721;1.0164534537920205;0.021689300431715495;0.022081456908456927;49.780937384508654;0.7175676385117926;0.05709956347347109;0.191113907426103
